町丁,男性,女性,総人口,世帯数
飛田給１丁目　　　　　　　　　　　　　　                    ,1600,1593,3193,1902
飛田給２丁目　　　　　　　　　　　　　　                    ,1456,1402,2858,1692
飛田給３丁目　　　　　　　　　　　　　　                    ,1083,1007,2090,985
上石原１丁目　　　　　　　　　　　　　　                    ,1547,1477,3024,1864
上石原２丁目　　　　　　　　　　　　　　                    ,1104,1100,2204,1246
上石原３丁目　　　　　　　　　　　　　　                    ,2546,2649,5195,2278
富士見町１丁目　　　　　　　　　　　　　                    ,687,704,1391,690
富士見町２丁目　　　　　　　　　　　　　                    ,1387,1350,2737,1453
富士見町３丁目　　　　　　　　　　　　　                    ,1381,1454,2835,1391
富士見町４丁目　　　　　　　　　　　　　                    ,975,1016,1991,967
下石原１丁目　　　　　　　　　　　　　　                    ,1201,1195,2396,1325
下石原２丁目　　　　　　　　　　　　　　                    ,1273,1212,2485,1270
下石原３丁目　　　　　　　　　　　　　　                    ,1896,1928,3824,1926
小島町１丁目　　　　　　　　　　　　　　                    ,1518,1610,3128,1799
小島町２丁目　　　　　　　　　　　　　　                    ,1382,1477,2859,1759
小島町３丁目　　　　　　　　　　　　　　                    ,2299,2335,4634,2547
布田１丁目　　　　　　　　　　　　　　　                    ,1187,1294,2481,1509
布田２丁目　　　　　　　　　　　　　　　                    ,1532,1579,3111,2013
布田３丁目　　　　　　　　　　　　　　　                    ,977,1051,2028,1171
布田４丁目　　　　　　　　　　　　　　　                    ,1327,1467,2794,1654
布田５丁目　　　　　　　　　　　　　　　                    ,1161,1205,2366,1242
布田６丁目　　　　　　　　　　　　　　　                    ,1070,1058,2128,990
国領町１丁目　　　　　　　　　　　　　　                    ,1923,2130,4053,2434
国領町２丁目　　　　　　　　　　　　　　                    ,1001,1094,2095,1108
国領町３丁目　　　　　　　　　　　　　　                    ,1533,2066,3599,2018
国領町４丁目　　　　　　　　　　　　　　                    ,1939,2064,4003,2126
国領町５丁目　　　　　　　　　　　　　　                    ,1854,1878,3732,2133
国領町６丁目　　　　　　　　　　　　　　                    ,623,671,1294,670
国領町７丁目　　　　　　　　　　　　　　                    ,1733,1776,3509,1793
国領町８丁目　　　　　　　　　　　　　　                    ,2078,2655,4733,2342
染地１丁目　　　　　　　　　　　　　　　                    ,1019,1161,2180,922
染地２丁目　　　　　　　　　　　　　　　                    ,3601,3848,7449,3112
染地３丁目　　　　　　　　　　　　　　　                    ,2609,2856,5465,2814
